"dB"      "codedlen"      "PLR" using |A|=1000
-3    1000  1
-3    1100  1
-3    1200  1
-3    1300  1
-3    1400  1
-3    1500  1
-3    1600  1
-3    1700  1
-3    1800  1
-3    1900  1
-3    2000  1
-3    2100  1
-3    2200  1
-3    2300  1
-3    2400  1
-3    2500  1
-3    2600  1
-3    2700  1
-3    2800  1
-3    2900  1
-3    3000  1
-3    3100  1
-3    3200  1
-3    3300  1
-3    3400  1
-3    3500  1
-3    3600  1
-3    3700  1
-3    3800  1
-3    3900  1
-3    4000  1
-3    4100  1
-3    4200  1
-3    4300  1
-3    4400  1
-3    4500  1
-3    4600  1
-3    4700  1
-3    4800  0.99999
-3    4900  1
-3    5000  1
-3    5100  1
-3    5200  0.99994
-3    5300  0.99988
-3    5400  0.99967
-3    5500  0.99889
-3    5600  0.99874
-3    5700  0.99838
-3    5800  0.9963
-3    5900  0.99583
-3    6000  0.99485
-3    6100  0.99389
-3    6200  0.98647
-3    6300  0.97815
-3    6400  0.94848
-3    6500  0.95876
-3    6600  0.93018
-3    6700  0.93328
-3    6800  0.92572
-3    6900  0.90284
-3    7000  0.85877
-3    7100  0.85298
-3    7200  0.8469
-3    7300  0.69674
-3    7400  0.7784
-3    7500  0.74476
-3    7600  0.72356
-3    7700  0.66657
-3    7800  0.65409
-3    7900  0.6471
-3    8000  0.61587
-3    8100  0.6017
-3    8200  0.3843
-3    8300  0.53346
-3    8400  0.48475
-3    8500  0.41602
-3    8600  0.40553
-3    8700  0.37133
-3    8800  0.38308
-3    8900  0.37423
-3    9000  0.37047
-3    9100  0.18191
-3    9200  0.40337
-3    9300  0.42455
-3    9400  0.38101
-3    9500  0.33153
-3    9600  0.2703
-3    9700  0.21346
-3    9800  0.15912
-2    1000  1
-2    1100  1
-3    9900  0.11281
-2    1200  1
-2    1300  1
-2    1400  1
-2    1500  1
-2    1600  1
-2    1700  1
-2    1800  1
-2    1900  1
-2    2000  1
-2    2100  1
-2    2200  1
-2    2300  1
-2    2400  1
-2    2500  1
-2    2600  1
-2    2700  1
-2    2800  1
-2    2900  1
-2    3000  1
-2    3100  1
-2    3200  1
-2    3300  1
